sample_name,fastq1,fastq2,tech
sample_1__40snps_SARS_CoV_2,sample_1__40snps_SARS_CoV_2_1.fastq.gz,sample_1__40snps_SARS_CoV_2_2.fastq.gz,illumina
sample_2__40snps_SARS_CoV_2,sample_2__40snps_SARS_CoV_2_1.fastq.gz,sample_2__40snps_SARS_CoV_2_2.fastq.gz,illumina
sample_3__40snps_SARS_CoV_2,sample_3__40snps_SARS_CoV_2_1.fastq.gz,sample_3__40snps_SARS_CoV_2_2.fastq.gz,illumina
sample_4__40snps_SARS_CoV_2,sample_4__40snps_SARS_CoV_2_1.fastq.gz,sample_4__40snps_SARS_CoV_2_2.fastq.gz,illumina
sample_5__40snps_SARS_CoV_2,sample_5__40snps_SARS_CoV_2_1.fastq.gz,sample_5__40snps_SARS_CoV_2_2.fastq.gz,illumina
sample_6__40snps_SARS_CoV_2,sample_6__40snps_SARS_CoV_2_1.fastq.gz,sample_6__40snps_SARS_CoV_2_2.fastq.gz,illumina
sample_7__40snps_SARS_CoV_2,sample_7__40snps_SARS_CoV_2_1.fastq.gz,sample_7__40snps_SARS_CoV_2_2.fastq.gz,illumina
sample_8__40snps_SARS_CoV_2,sample_8__40snps_SARS_CoV_2_1.fastq.gz,sample_8__40snps_SARS_CoV_2_2.fastq.gz,illumina
sample_9__40snps_SARS_CoV_2,sample_9__40snps_SARS_CoV_2_1.fastq.gz,sample_9__40snps_SARS_CoV_2_2.fastq.gz,illumina
sample_10__40snps_SARS_CoV_2,sample_10__40snps_SARS_CoV_2_1.fastq.gz,sample_10__40snps_SARS_CoV_2_2.fastq.gz,illumina
sample_11__40snps_SARS_CoV_2,sample_11__40snps_SARS_CoV_2_1.fastq.gz,sample_11__40snps_SARS_CoV_2_2.fastq.gz,illumina
sample_12__40snps_SARS_CoV_2,sample_12__40snps_SARS_CoV_2_1.fastq.gz,sample_12__40snps_SARS_CoV_2_2.fastq.gz,illumina
sample_13__40snps_SARS_CoV_2,sample_13__40snps_SARS_CoV_2_1.fastq.gz,sample_13__40snps_SARS_CoV_2_2.fastq.gz,illumina
sample_14__40snps_SARS_CoV_2,sample_14__40snps_SARS_CoV_2_1.fastq.gz,sample_14__40snps_SARS_CoV_2_2.fastq.gz,illumina
sample_15__40snps_SARS_CoV_2,sample_15__40snps_SARS_CoV_2_1.fastq.gz,sample_15__40snps_SARS_CoV_2_2.fastq.gz,illumina
sample_16__40snps_SARS_CoV_2,sample_16__40snps_SARS_CoV_2_1.fastq.gz,sample_16__40snps_SARS_CoV_2_2.fastq.gz,illumina
sample_17__40snps_SARS_CoV_2,sample_17__40snps_SARS_CoV_2_1.fastq.gz,sample_17__40snps_SARS_CoV_2_2.fastq.gz,illumina
sample_18__40snps_SARS_CoV_2,sample_18__40snps_SARS_CoV_2_1.fastq.gz,sample_18__40snps_SARS_CoV_2_2.fastq.gz,illumina
sample_19__40snps_SARS_CoV_2,sample_19__40snps_SARS_CoV_2_1.fastq.gz,sample_19__40snps_SARS_CoV_2_2.fastq.gz,illumina
sample_20__40snps_SARS_CoV_2,sample_20__40snps_SARS_CoV_2_1.fastq.gz,sample_20__40snps_SARS_CoV_2_2.fastq.gz,illumina
sample_21__40snps_SARS_CoV_2,sample_21__40snps_SARS_CoV_2_1.fastq.gz,sample_21__40snps_SARS_CoV_2_2.fastq.gz,illumina
sample_22__40snps_SARS_CoV_2,sample_22__40snps_SARS_CoV_2_1.fastq.gz,sample_22__40snps_SARS_CoV_2_2.fastq.gz,illumina
sample_23__40snps_SARS_CoV_2,sample_23__40snps_SARS_CoV_2_1.fastq.gz,sample_23__40snps_SARS_CoV_2_2.fastq.gz,illumina
sample_24__40snps_SARS_CoV_2,sample_24__40snps_SARS_CoV_2_1.fastq.gz,sample_24__40snps_SARS_CoV_2_2.fastq.gz,illumina
sample_25__40snps_SARS_CoV_2,sample_25__40snps_SARS_CoV_2_1.fastq.gz,sample_25__40snps_SARS_CoV_2_2.fastq.gz,illumina
sample_26__40snps_SARS_CoV_2,sample_26__40snps_SARS_CoV_2_1.fastq.gz,sample_26__40snps_SARS_CoV_2_2.fastq.gz,illumina
sample_27__40snps_SARS_CoV_2,sample_27__40snps_SARS_CoV_2_1.fastq.gz,sample_27__40snps_SARS_CoV_2_2.fastq.gz,illumina
sample_28__40snps_SARS_CoV_2,sample_28__40snps_SARS_CoV_2_1.fastq.gz,sample_28__40snps_SARS_CoV_2_2.fastq.gz,illumina
sample_29__40snps_SARS_CoV_2,sample_29__40snps_SARS_CoV_2_1.fastq.gz,sample_29__40snps_SARS_CoV_2_2.fastq.gz,illumina
sample_30__40snps_SARS_CoV_2,sample_30__40snps_SARS_CoV_2_1.fastq.gz,sample_30__40snps_SARS_CoV_2_2.fastq.gz,illumina
