sample_name,fastq1,fastq2,tech
sample_1__79identity_SARS_CoV_2,sample_1__79identity_SARS_CoV_2_1.fastq.gz,sample_1__79identity_SARS_CoV_2_2.fastq.gz,illumina
sample_2__79identity_SARS_CoV_2,sample_2__79identity_SARS_CoV_2_1.fastq.gz,sample_2__79identity_SARS_CoV_2_2.fastq.gz,illumina
sample_3__79identity_SARS_CoV_2,sample_3__79identity_SARS_CoV_2_1.fastq.gz,sample_3__79identity_SARS_CoV_2_2.fastq.gz,illumina
sample_4__79identity_SARS_CoV_2,sample_4__79identity_SARS_CoV_2_1.fastq.gz,sample_4__79identity_SARS_CoV_2_2.fastq.gz,illumina
sample_5__79identity_SARS_CoV_2,sample_5__79identity_SARS_CoV_2_1.fastq.gz,sample_5__79identity_SARS_CoV_2_2.fastq.gz,illumina
sample_6__79identity_SARS_CoV_2,sample_6__79identity_SARS_CoV_2_1.fastq.gz,sample_6__79identity_SARS_CoV_2_2.fastq.gz,illumina
sample_7__79identity_SARS_CoV_2,sample_7__79identity_SARS_CoV_2_1.fastq.gz,sample_7__79identity_SARS_CoV_2_2.fastq.gz,illumina
sample_8__79identity_SARS_CoV_2,sample_8__79identity_SARS_CoV_2_1.fastq.gz,sample_8__79identity_SARS_CoV_2_2.fastq.gz,illumina
sample_9__79identity_SARS_CoV_2,sample_9__79identity_SARS_CoV_2_1.fastq.gz,sample_9__79identity_SARS_CoV_2_2.fastq.gz,illumina
sample_10__79identity_SARS_CoV_2,sample_10__79identity_SARS_CoV_2_1.fastq.gz,sample_10__79identity_SARS_CoV_2_2.fastq.gz,illumina
sample_11__79identity_SARS_CoV_2,sample_11__79identity_SARS_CoV_2_1.fastq.gz,sample_11__79identity_SARS_CoV_2_2.fastq.gz,illumina
sample_12__79identity_SARS_CoV_2,sample_12__79identity_SARS_CoV_2_1.fastq.gz,sample_12__79identity_SARS_CoV_2_2.fastq.gz,illumina
sample_13__79identity_SARS_CoV_2,sample_13__79identity_SARS_CoV_2_1.fastq.gz,sample_13__79identity_SARS_CoV_2_2.fastq.gz,illumina
sample_14__79identity_SARS_CoV_2,sample_14__79identity_SARS_CoV_2_1.fastq.gz,sample_14__79identity_SARS_CoV_2_2.fastq.gz,illumina
sample_15__79identity_SARS_CoV_2,sample_15__79identity_SARS_CoV_2_1.fastq.gz,sample_15__79identity_SARS_CoV_2_2.fastq.gz,illumina
sample_16__79identity_SARS_CoV_2,sample_16__79identity_SARS_CoV_2_1.fastq.gz,sample_16__79identity_SARS_CoV_2_2.fastq.gz,illumina
sample_17__79identity_SARS_CoV_2,sample_17__79identity_SARS_CoV_2_1.fastq.gz,sample_17__79identity_SARS_CoV_2_2.fastq.gz,illumina
sample_18__79identity_SARS_CoV_2,sample_18__79identity_SARS_CoV_2_1.fastq.gz,sample_18__79identity_SARS_CoV_2_2.fastq.gz,illumina
sample_19__79identity_SARS_CoV_2,sample_19__79identity_SARS_CoV_2_1.fastq.gz,sample_19__79identity_SARS_CoV_2_2.fastq.gz,illumina
sample_20__79identity_SARS_CoV_2,sample_20__79identity_SARS_CoV_2_1.fastq.gz,sample_20__79identity_SARS_CoV_2_2.fastq.gz,illumina
sample_21__79identity_SARS_CoV_2,sample_21__79identity_SARS_CoV_2_1.fastq.gz,sample_21__79identity_SARS_CoV_2_2.fastq.gz,illumina
sample_22__79identity_SARS_CoV_2,sample_22__79identity_SARS_CoV_2_1.fastq.gz,sample_22__79identity_SARS_CoV_2_2.fastq.gz,illumina
sample_23__79identity_SARS_CoV_2,sample_23__79identity_SARS_CoV_2_1.fastq.gz,sample_23__79identity_SARS_CoV_2_2.fastq.gz,illumina
sample_24__79identity_SARS_CoV_2,sample_24__79identity_SARS_CoV_2_1.fastq.gz,sample_24__79identity_SARS_CoV_2_2.fastq.gz,illumina
sample_25__79identity_SARS_CoV_2,sample_25__79identity_SARS_CoV_2_1.fastq.gz,sample_25__79identity_SARS_CoV_2_2.fastq.gz,illumina
sample_26__79identity_SARS_CoV_2,sample_26__79identity_SARS_CoV_2_1.fastq.gz,sample_26__79identity_SARS_CoV_2_2.fastq.gz,illumina
sample_27__79identity_SARS_CoV_2,sample_27__79identity_SARS_CoV_2_1.fastq.gz,sample_27__79identity_SARS_CoV_2_2.fastq.gz,illumina
sample_28__79identity_SARS_CoV_2,sample_28__79identity_SARS_CoV_2_1.fastq.gz,sample_28__79identity_SARS_CoV_2_2.fastq.gz,illumina
sample_29__79identity_SARS_CoV_2,sample_29__79identity_SARS_CoV_2_1.fastq.gz,sample_29__79identity_SARS_CoV_2_2.fastq.gz,illumina
sample_30__79identity_SARS_CoV_2,sample_30__79identity_SARS_CoV_2_1.fastq.gz,sample_30__79identity_SARS_CoV_2_2.fastq.gz,illumina
