sample_name,fastq1,fastq2,tech
sample_10_c10_flu,flu_c10_coverage_10_1.fastq.gz,flu_c10_coverage_10_2.fastq.gz,illumina
sample_11_c10_flu,flu_c10_coverage_11_1.fastq.gz,flu_c10_coverage_11_2.fastq.gz,illumina
sample_12_c10_flu,flu_c10_coverage_12_1.fastq.gz,flu_c10_coverage_12_2.fastq.gz,illumina
sample_13_c10_flu,flu_c10_coverage_13_1.fastq.gz,flu_c10_coverage_13_2.fastq.gz,illumina
sample_14_c10_flu,flu_c10_coverage_14_1.fastq.gz,flu_c10_coverage_14_2.fastq.gz,illumina
sample_15_c10_flu,flu_c10_coverage_15_1.fastq.gz,flu_c10_coverage_15_2.fastq.gz,illumina
sample_16_c10_flu,flu_c10_coverage_16_1.fastq.gz,flu_c10_coverage_16_2.fastq.gz,illumina
sample_17_c10_flu,flu_c10_coverage_17_1.fastq.gz,flu_c10_coverage_17_2.fastq.gz,illumina
sample_18_c10_flu,flu_c10_coverage_18_1.fastq.gz,flu_c10_coverage_18_2.fastq.gz,illumina
sample_19_c10_flu,flu_c10_coverage_19_1.fastq.gz,flu_c10_coverage_19_2.fastq.gz,illumina
sample_1_c10_flu,flu_c10_coverage_1_1.fastq.gz,flu_c10_coverage_1_2.fastq.gz,illumina
sample_20_c10_flu,flu_c10_coverage_20_1.fastq.gz,flu_c10_coverage_20_2.fastq.gz,illumina
sample_21_c10_flu,flu_c10_coverage_21_1.fastq.gz,flu_c10_coverage_21_2.fastq.gz,illumina
sample_22_c10_flu,flu_c10_coverage_22_1.fastq.gz,flu_c10_coverage_22_2.fastq.gz,illumina
sample_23_c10_flu,flu_c10_coverage_23_1.fastq.gz,flu_c10_coverage_23_2.fastq.gz,illumina
sample_24_c10_flu,flu_c10_coverage_24_1.fastq.gz,flu_c10_coverage_24_2.fastq.gz,illumina
sample_25_c10_flu,flu_c10_coverage_25_1.fastq.gz,flu_c10_coverage_25_2.fastq.gz,illumina
sample_26_c10_flu,flu_c10_coverage_26_1.fastq.gz,flu_c10_coverage_26_2.fastq.gz,illumina
sample_27_c10_flu,flu_c10_coverage_27_1.fastq.gz,flu_c10_coverage_27_2.fastq.gz,illumina
sample_28_c10_flu,flu_c10_coverage_28_1.fastq.gz,flu_c10_coverage_28_2.fastq.gz,illumina
sample_29_c10_flu,flu_c10_coverage_29_1.fastq.gz,flu_c10_coverage_29_2.fastq.gz,illumina
sample_2_c10_flu,flu_c10_coverage_2_1.fastq.gz,flu_c10_coverage_2_2.fastq.gz,illumina
sample_30_c10_flu,flu_c10_coverage_30_1.fastq.gz,flu_c10_coverage_30_2.fastq.gz,illumina
sample_3_c10_flu,flu_c10_coverage_3_1.fastq.gz,flu_c10_coverage_3_2.fastq.gz,illumina
sample_4_c10_flu,flu_c10_coverage_4_1.fastq.gz,flu_c10_coverage_4_2.fastq.gz,illumina
sample_5_c10_flu,flu_c10_coverage_5_1.fastq.gz,flu_c10_coverage_5_2.fastq.gz,illumina
sample_6_c10_flu,flu_c10_coverage_6_1.fastq.gz,flu_c10_coverage_6_2.fastq.gz,illumina
sample_7_c10_flu,flu_c10_coverage_7_1.fastq.gz,flu_c10_coverage_7_2.fastq.gz,illumina
sample_8_c10_flu,flu_c10_coverage_8_1.fastq.gz,flu_c10_coverage_8_2.fastq.gz,illumina
sample_9_c10_flu,flu_c10_coverage_9_1.fastq.gz,flu_c10_coverage_9_2.fastq.gz,illumina
